14.05	22.25
10.2	16.0
9.5	16.65
10.75	16.6
10.45	17.2
9.85	17.1
9.4	17.6
10.15	17.7
9.85	18.15
9.05	18.25
9.3	18.7
9.15	19.15
11.65	17.45
11.1	17.65
10.4	18.25
10.0	18.95
11.95	18.25
11.25	18.4
10.6	18.9
11.15	19.0
11.9	18.85
12.6	18.9
11.8	19.45
11.05	19.45
10.3	19.4
9.9	19.75
10.45	20.0
13.05	19.9
12.5	19.75
11.9	20.05
11.2	20.25
10.85	20.85
11.4	21.25
11.7	20.6
12.3	20.45
12.95	20.55
12.55	20.95
12.05	21.25
11.75	22.1
12.25	21.85
12.8	21.5
13.55	21.0
13.6	21.6
12.95	22.0
12.5	22.25
12.2	22.85
12.7	23.35
13.0	22.7
13.55	22.2
14.2	23.05
14.1	23.6
13.5	22.8
13.35	23.5
13.3	24.0
8.55	20.6
9.35	20.5
8.3	21.45
9.3	22.0
9.7	22.95
